,genre,topic_num,topic_proportion,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term_str,rep_summary,rep_url,img
11,Adventure,Topic 29,7.00%,love,fairytal,princ,youngadult,royalti,princess,kingdom,retel,war,ball,"love, fairytal, princ, youngadult, royalti, princess, kingdom, retel, war, ball",Princess Eleanor is fascinated by the mysterious Knight who has remained undefeated throughout her father's tournament at Bourges. However as the final battle commences the truth about The Knight is about to be revealed.,https://www.wattpad.com/story/2214126-the-knight-lesbian-story,topic29.png
12,Adventure,other,20.60%,,,,,,,,,,,,,,other.png
13,ChickLit,Topic 26,48.80%,chicklit,love,nanowrimo,comedi,lie,billionair,sweet,bride,heartbreak,romant,"chicklit, love, nanowrimo, comedi, lie, billionair, sweet, bride, heartbreak, romant",Because darling it was you who made it so easy to fall into.,https://www.wattpad.com/story/55428385-stitched-in-love,topic26.png
14,ChickLit,Topic 13,8.70%,boss,death,date,secret,paranorm,newyorkc,babi,cat,finn,girlxgirl,"boss, death, date, secret, paranorm, newyorkc, babi, cat, finn, girlxgirl",Lacey Hannigan was never your average girl. Why? Because she can see ghosts. In a new town she feels like she can finally move on with her life and feels like she has a better grip on herself than ever. Until Finn McDermott enters the ghost of a hot arrogant quarterback that disappeared nine months ago. And Lacey doesn't know what's scarier to her. The fact that everything she thought she knew was all a lie. Or the fact that Finn one by one is slowly undoing all of the hard work Lacey put up to protect herself and her gift. And that she doesn't mind. Join Lacey and Finn as they work together to uncover Finn's murder and bring justice to his death finally freeing him from this world and allowing him to move on. But when the time comes will she be able to let him go? Cover: CityPerson Trailer: novemberdreamer,https://www.wattpad.com/story/9167545-till-death-do-us-part-completed,topic13.png
15,ChickLit,Topic 6,5.60%,watti,friendship,wattpadpr,love,hors,ride,awkward,drama,blind,grief,"watti, friendship, wattpadpr, love, hors, ride, awkward, drama, blind, grief",Thirteen year old Allegra Mason is given the opportunity of a lifetime when she is handed the cheeky but extremely talented rising three year old colt Arrow to train and care for as part of the famous 'Colt Challenge' at Shadow Hill Stables. But Ally is younger and less experienced than most of the other participants and battling with her crazy foal school friendship issues and her hated rival Cassidy French it's hard to get anywhere. But with the help of new-found friend and incredible rider Lacey Johnson she hasn't lost all hope. Wattys2014,https://www.wattpad.com/story/12007722-the-colt-challenge-a-horse-story,topic6.png
16,ChickLit,Topic 30,4.90%,romanc,love,drama,matur,comedi,maid,sauc,contemporari,greek,leader,"romanc, love, drama, matur, comedi, maid, sauc, contemporari, greek, leader",A tragic accident and rumors leaves Haley Geller trying to find the greener side of life. She finds it in the most unexpected of places though- a loner and a bully named Meth. But why is everyone convinced Meth is such a bad guy? A story love trust healing... And purple sneakers,https://www.wattpad.com/story/31583420-addicted-to-meth,topic30.png
17,ChickLit,Topic 31,3.30%,friend,heartbreak,love,school,teen,best,high,parti,basketbal,bestfriend,"friend, heartbreak, love, school, teen, best, high, parti, basketbal, bestfriend",{Will I Always Be: Series} Book One - Just A Friend? Ashton Thompson is everything you'd want in a boyfriend. He's funny caring childish at times loving romantic...oh and he's drool worthy gorgeous. It's just a shame that he's my best friend...NOT my boyfriend. Being in love with your best friend SUCKS. Watching him kiss other girls HURTS. Acting like he means nothing more to me than just a friend KILLS. *** Lydia and Ashton have been best friends from the very beginning. They tell each other everything and know everything about one another. Well so Ashton thought.... Lydia has been secretly in love with her best friend for as long as she can remember. However she keeps it to herself not wanting to ruin their close friendship. Now they're both 18 things begin to change after a couple of 'moments' between the pair...will their friendship stand the test? And will Lydia only ever be to Ashton...Just A Friend? **THIS IS NOT A 5 SOS FANFICTION** *Credit to @STRANGELIES for my gorgeous new book cover* Highest Ranking - Chicklit  Teen Fiction  (10/11/15),https://www.wattpad.com/story/1923751-just-a-friend,topic31.png
18,ChickLit,other,28.70%,,,,,,,,,,,,,,other.png
19,Classics,Topic 12,96.30%,liam,classic,adopt,isaac,scott,derek,spiritu,hous,drink,back,"liam, classic, adopt, isaac, scott, derek, spiritu, hous, drink, back","""Romeo and Juliet"" is a tragedy about two young star-crossed lovers whose deaths ultimately reconcile their feuding families.",https://www.wattpad.com/story/6652034-romeo-and-juliet,topic12.png
20,Classics,Topic 39,0.90%,fiction,teen,love,teenwolf,teenlov,past,younglov,shortstori,urban,footbal,"fiction, teen, love, teenwolf, teenlov, past, younglov, shortstori, urban, footbal","""Everyday he'd show up and I'd watch from afar; I'd admire his beautiful features or the ring that hugged his bottom lip; the way he'd sit by himself and stare at his drink; and most importantly I'd watch the way his green eyes screamed in sadness and surrender every time they met mine."" a/n: This is literally the second story I've ever written so it needs some editing. However if you can bear unedited stories and happen to read this then don't forget to vote or comment :)",https://www.wattpad.com/story/8920984-nathan-editing,topic39.png
21,Classics,Topic 14,0.30%,general,histor,love,romanc,marriag,arrangedmarriag,colleg,indian,bestfriend,accid,"general, histor, love, romanc, marriag, arrangedmarriag, colleg, indian, bestfriend, accid","""Daddy... I don't want to marry him..."" I pleaded to my dad as I sat down on the couch. ""Why not... There's nothing wrong with him..."" my dad argued back. ""I grew up with him being your best friend..."" I said as I threw a pillow. ""Mom... Help me out..."" I pleaded.",https://www.wattpad.com/story/30882493-married-to-the-mafia,topic14.png
22,Classics,Topic 30,0.30%,romanc,love,drama,matur,comedi,maid,sauc,contemporari,greek,leader,"romanc, love, drama, matur, comedi, maid, sauc, contemporari, greek, leader",A tragic accident and rumors leaves Haley Geller trying to find the greener side of life. She finds it in the most unexpected of places though- a loner and a bully named Meth. But why is everyone convinced Meth is such a bad guy? A story love trust healing... And purple sneakers,https://www.wattpad.com/story/31583420-addicted-to-meth,topic30.png
23,Classics,Topic 24,0.20%,mysteri,crime,abus,spi,violenc,newadult,psycholog,conspiraci,drug,detect,"mysteri, crime, abus, spi, violenc, newadult, psycholog, conspiraci, drug, detect",Three people brought together by a monstrous crime. Inspector Thomas Cullen of the Putney Murder Investigation Team in London. Set on revenge for the murder of his father. Kyle Mason an elusive art thief known to the world only as The Gentleman. Wanted by the law hunted by assassins. Doctor Danielle Schoeman an investigative psychologist in the South African Police. Working on a grisly murder case - the worst the nation has seen in decades. Three lives pulled over the edge and changed forever. Several chapters will be released every week - on Mondays Wednesdays and Fridays - until the entire book is up with 48 chapters in total. The complete book is available for pre-order through all major online distributors. Paperback and e-book release date March 2016. Copyright 2015 Greg Blyth ISBN: 9780620693264,https://www.wattpad.com/story/57560118-the-list,topic24.png
24,Classics,other,2.00%,,,,,,,,,,,,,,other.png
25,Fanfiction,Topic 23,27.30%,luke,sos,lukehem,ashton,ashtonirwin,hem,hood,second,michael,calum,"luke, sos, lukehem, ashton, ashtonirwin, hem, hood, second, michael, calum","""Do you like the way I make you feel Ellie?"" Mr Hood asked me his hand rested on my thigh. ""I uh- Yes Mr Hood."" I stuttered feeling slightly uneasy. ""Good."" He removed his hand from me thigh and stood up. ""Because there's a lot more where that came from."" A story in which a young innocent girl falls for her teacher. ***ALTERNATE UNIVERSE*** ||CONTAINS: || ||MATURE LANGUAGE. || || SMUT || || AGE GAP (SLIGHT) || READ AT YOUR OWN RISK",https://www.wattpad.com/story/53821799-mr-hood-cth-a-u,topic23.png
26,Fanfiction,Topic 22,22.20%,random,harrystyl,babi,niallhoran,pregnanc,liampayn,louistomlinson,onedirect,watti,harrystylesfanf,"random, harrystyl, babi, niallhoran, pregnanc, liampayn, louistomlinson, onedirect, watti, harrystylesfanf",The hall is still a little bit crowded but no one is paying attention to the girl with the crazy I-just-had-sex hair and no panties under her skirt. I can't believe what just happened and I never will. I had sex with the one and only Harry Styles. Highest rank:  in Fanfiction.,https://www.wattpad.com/story/29972732-knocked-up-harry-styles,topic22.png
27,Fanfiction,Topic 5,21.50%,fanfict,harri,potter,witch,wizard,drabbl,hawaii,hogwart,fan,suicid,"fanfict, harri, potter, witch, wizard, drabbl, hawaii, hogwart, fan, suicid",This book is a list of all the classes at Hogwarts School of Witchcraft and Wizardry,https://www.wattpad.com/story/55666633-classes,topic5.png
28,Fanfiction,Topic 12,9.30%,liam,classic,adopt,isaac,scott,derek,spiritu,hous,drink,back,"liam, classic, adopt, isaac, scott, derek, spiritu, hous, drink, back","""Romeo and Juliet"" is a tragedy about two young star-crossed lovers whose deaths ultimately reconcile their feuding families.",https://www.wattpad.com/story/6652034-romeo-and-juliet,topic12.png
29,Fanfiction,Topic 35,8.00%,cute,love,teen,romant,teenfict,coupl,lovestori,crush,sweet,stile,"cute, love, teen, romant, teenfict, coupl, lovestori, crush, sweet, stile",Sophie Campbell is a seventeen year old senior at Jackson High that also holds down a part-time job at the local coffee shop. The way Sophie sees it there's no need for her to have a boyfriend in high school. All the boys are immature and she's lasted without love for 17 years so far... why not wait one more? However when the mysterious loner at her school comes into her work on New Year's Eve something between them clicks. Between crazy friends a motorcycle and an English assignment will they be content with just a friendship or will they realize that they might be perfect for each other as more?,https://www.wattpad.com/story/1615632-maybe-perfect,topic35.png
30,Fanfiction,other,11.60%,,,,,,,,,,,,,,other.png
31,Fantasy,Topic 40,51.20%,fantasi,magic,romanc,action,adventur,dragon,demon,supernatur,watti,angel,"fantasi, magic, romanc, action, adventur, dragon, demon, supernatur, watti, angel",There are plenty of thieves in the world - thieves of jewels thieves of the heart and thieves of innocence. But Evelin Jiyu a young girl in the war-torn village of Muoro is a thief of the greatest prize of all: free will. The Makers are the gods worshipped by the villagers and anyone who denies their teachings is executed. From a young age all villagers join a caste based on the amount of free will the Makers have given them and this caste will lead to a career that is their one true path in life. But even the most carefully orchestrated heist can be unraveled by one mistake - and the Makers' biggest mistake is Evelin. A glitch in the system Evelin got away with free will; she has never really fit into a caste and has never been so smitten with the Makers. To admit this would be to place her own head on a chopping block. Instead she hides in the lowest caste of all and keeps her free will a secret. At her graduation ceremony her lies will be revealed. Only a graduate from the highest caste will be chosen to lead a war against the neighboring village Faero. But when fate chooses her as the Seeker the questions begin and Evelin fears for her life. Abandoning her home and family in the midst of a war to save her own head Evelin flees from the Makers' retribution. She runs to the one place where the Makers cannot reach her and where all of their secrets might be revealed: the Edge of the world. *The Edge of the World is a Wattpad Featured Story *The amazing cover was made by @Ferret-bird,https://www.wattpad.com/story/19081483-the-edge-of-the-world,topic40.png
32,Fantasy,Topic 19,9.50%,school,paranorm,love,memori,life,fate,kiss,supernatur,power,teen,"school, paranorm, love, memori, life, fate, kiss, supernatur, power, teen",[Cold Fire  2] All her life Melissa has been defined by something she's had no control over: a rare undiagnosed disease. But even with all the scientific explanations offered to her by the undeniably clueless doctors she's been living on lies. Because as it turns out her disease isn't even a disease at all but an unfortunate side-effect of swapping souls with her childhood friend Sarah. Now after swapping back into her true body Melissa discovers that getting to this point was only half the battle. Her powers are suddenly uncontrollable she's haunted by fragmented memories of her past at night and plagued by unanswerable questions during the day. On top of all that she's due to enrol in a new school in only a matter of days. Never mind the fact that no one can get her name right if she doesn't learn how to control her powers before school starts she'll be the talk of the town. But there are deadlier battles on the horizon. Suddenly the half-century old prophecy that paints her as the saviour has come back to bite her in the butt and if she can't figure out how to stop her uncle before his new project turns into a reality they may very well end up on course for an apocalypse. All Melissa has ever wanted was a chance at life - a normal life - but now it looks as though she won't survive the winter. And when someone she loves comes back from the dead she realises that the answers she seeks are buried much deeper then she could ever have imagined and in order to find out the truth about her future she'll have to go back a hundred years in the past. 2015 by shayebay This novel is entirely a work of fiction. The names characters places and incidents portrayed in it are the work of the author's imagination. Any resemblance to actual persons living or dead events or localities is entirely coincidental. All Rights Reserved Listen to the Cold Tomorrow playlist here: http://8tracks.com/shayebay/cold-tomorrow,https://www.wattpad.com/story/11059369-cold-tomorrow,topic19.png
33,Fantasy,Topic 29,9.50%,love,fairytal,princ,youngadult,royalti,princess,kingdom,retel,war,ball,"love, fairytal, princ, youngadult, royalti, princess, kingdom, retel, war, ball",Princess Eleanor is fascinated by the mysterious Knight who has remained undefeated throughout her father's tournament at Bourges. However as the final battle commences the truth about The Knight is about to be revealed.,https://www.wattpad.com/story/2214126-the-knight-lesbian-story,topic29.png
34,Fantasy,Topic 2,5.00%,scienc,fiction,power,superhero,adventur,watti,super,dystopia,hero,superpow,"scienc, fiction, power, superhero, adventur, watti, super, dystopia, hero, superpow",UNDER EDITING :D (Book One of The Visions Trilogy) Jacelyn isn't your average teenage girl. She has powers. And sure everything seems normal except for eerie visions that are haunting almost every second of her life. But even with her amazing abilities how will she stop the coming of something that she doesn't even fully understand? These visions are only the beginning as she discovers secrets that were never meant to resurface. How will she save her city from drowning in the blood of scorching fire? All Rights Reserved,https://www.wattpad.com/story/3650641-shadow-book-one-of-the-visions-trilogy,topic2.png
35,Fantasy,Topic 43,4.50%,possess,rogu,mate,pack,alpha,luna,king,kidnap,domin,soulmat,"possess, rogu, mate, pack, alpha, luna, king, kidnap, domin, soulmat",Damien and Sebastian are both Legens - a supernatural creature which only a select few know that even exists. After getting kicked out of their homes at a young age and being considered freaks by their parents Damien and Sebastian make it their business to find adventure and live life to the fullest. Despite the hate they carry towards Werewolves they end up settling into a territory that is flooded with them. While Sebastian is trying to keep control of the order they had before and Damien is fighting the strange feelings he has for the Alpha's daughter - they both get involved in the biggest Werewolf Pack battle the US has seen in centuries. In the end who will win? Includes appearances from Blue Bloods New Elite Midnight Moon Locus and Imperial Pack.,https://www.wattpad.com/story/1428604-heavenly-poison,topic43.png
36,Fantasy,other,20.20%,,,,,,,,,,,,,,other.png
37,General Fiction,Topic 14,42.40%,general,histor,love,romanc,marriag,arrangedmarriag,colleg,indian,bestfriend,accid,"general, histor, love, romanc, marriag, arrangedmarriag, colleg, indian, bestfriend, accid","""Daddy... I don't want to marry him..."" I pleaded to my dad as I sat down on the couch. ""Why not... There's nothing wrong with him..."" my dad argued back. ""I grew up with him being your best friend..."" I said as I threw a pillow. ""Mom... Help me out..."" I pleaded.",https://www.wattpad.com/story/30882493-married-to-the-mafia,topic14.png
38,General Fiction,Topic 39,16.60%,fiction,teen,love,teenwolf,teenlov,past,younglov,shortstori,urban,footbal,"fiction, teen, love, teenwolf, teenlov, past, younglov, shortstori, urban, footbal","""Everyday he'd show up and I'd watch from afar; I'd admire his beautiful features or the ring that hugged his bottom lip; the way he'd sit by himself and stare at his drink; and most importantly I'd watch the way his green eyes screamed in sadness and surrender every time they met mine."" a/n: This is literally the second story I've ever written so it needs some editing. However if you can bear unedited stories and happen to read this then don't forget to vote or comment :)",https://www.wattpad.com/story/8920984-nathan-editing,topic39.png
39,General Fiction,Topic 15,5.40%,famili,marriag,enemi,secret,arrang,drama,fight,love,engag,yourstoryindia,"famili, marriag, enemi, secret, arrang, drama, fight, love, engag, yourstoryindia",Lyric and Blaze. Their parents own a big Corporation together. Their parents are also making them get married. Fun right? Try telling that to them. Especially with all the craziness and drama they have to get through together. This story has been revised as of 2014. WARNING: If you aren't a fan of A LOT of drama this is not the story for you. If you love drama well enjoy :),https://www.wattpad.com/story/31884-the-family-business-an-arranged-marriage,topic15.png
40,General Fiction,Topic 9,4.00%,possess,mafia,arrog,italian,domin,husband,hot,danger,dark,reveng,"possess, mafia, arrog, italian, domin, husband, hot, danger, dark, reveng",Vampires covered most of the world the land seas mountains and some humans are in control of Demetri the ruler of vampires. No human is allowed to step in their land and if they do its up to Demetri whether he want to kill them or not. So what happen when a group of girls mistakenly walked over his land. Evelyn Richardson a shy sweet girl gets in the hands of Demetri wha will her to do her. Will he treat her like his last victims?  in vampire Will contain scenes of Rape and Abuse read at you own risk.,https://www.wattpad.com/story/52422728-slave-to-him,topic9.png
41,General Fiction,Topic 21,3.90%,sister,music,thug,danc,war,book,brother,famous,learn,littl,"sister, music, thug, danc, war, book, brother, famous, learn, littl",Caramel is a poor university student in England her ambitions is to become a successful doctor one day. She was living in an orphanage looking after the orphans there while it was a shelter for her. On her first day of her work experience in the hospital she nurses a very sexy rich boy who she can't hit on as she had a finance waiting for her back at the orphanage.,https://www.wattpad.com/story/3976-arranged-marriage-to-mr-billionaire,topic21.png
42,General Fiction,other,27.70%,,,,,,,,,,,,,,other.png
43,Historical Fiction,Topic 29,39.40%,love,fairytal,princ,youngadult,royalti,princess,kingdom,retel,war,ball,"love, fairytal, princ, youngadult, royalti, princess, kingdom, retel, war, ball",Princess Eleanor is fascinated by the mysterious Knight who has remained undefeated throughout her father's tournament at Bourges. However as the final battle commences the truth about The Knight is about to be revealed.,https://www.wattpad.com/story/2214126-the-knight-lesbian-story,topic29.png
44,Historical Fiction,Topic 14,24.60%,general,histor,love,romanc,marriag,arrangedmarriag,colleg,indian,bestfriend,accid,"general, histor, love, romanc, marriag, arrangedmarriag, colleg, indian, bestfriend, accid","""Daddy... I don't want to marry him..."" I pleaded to my dad as I sat down on the couch. ""Why not... There's nothing wrong with him..."" my dad argued back. ""I grew up with him being your best friend..."" I said as I threw a pillow. ""Mom... Help me out..."" I pleaded.",https://www.wattpad.com/story/30882493-married-to-the-mafia,topic14.png
45,Historical Fiction,Topic 39,15.40%,fiction,teen,love,teenwolf,teenlov,past,younglov,shortstori,urban,footbal,"fiction, teen, love, teenwolf, teenlov, past, younglov, shortstori, urban, footbal","""Everyday he'd show up and I'd watch from afar; I'd admire his beautiful features or the ring that hugged his bottom lip; the way he'd sit by himself and stare at his drink; and most importantly I'd watch the way his green eyes screamed in sadness and surrender every time they met mine."" a/n: This is literally the second story I've ever written so it needs some editing. However if you can bear unedited stories and happen to read this then don't forget to vote or comment :)",https://www.wattpad.com/story/8920984-nathan-editing,topic39.png
46,Historical Fiction,Topic 10,3.30%,abus,hot,betray,beauti,hurt,arrog,love,badass,jealousi,colleg,"abus, hot, betray, beauti, hurt, arrog, love, badass, jealousi, colleg",Life couldn't get any better for Xia Cameron she's run away from a negligent mother and an abbusive father she's about to be evicted from her apartment She's behind on all her payments and to top things off she's just crashed into the car of young successful but overly arrogant Caleb McCallum. What makes things worse is that the creep gave her an impossible bill and his only other suggestion is that she become a maid at his lakeside mansion. Without any hope of paying off her debt she reluctantly takes him up on his offer but can she survive life at McCallum Manor with the less than pleasant Master Caleb and his estranged wife or will she find giving up to be a pleasant alternative.,https://www.wattpad.com/story/158773-a-maid-for-mr-arrogant,topic10.png
47,Historical Fiction,Topic 15,2.90%,famili,marriag,enemi,secret,arrang,drama,fight,love,engag,yourstoryindia,"famili, marriag, enemi, secret, arrang, drama, fight, love, engag, yourstoryindia",Lyric and Blaze. Their parents own a big Corporation together. Their parents are also making them get married. Fun right? Try telling that to them. Especially with all the craziness and drama they have to get through together. This story has been revised as of 2014. WARNING: If you aren't a fan of A LOT of drama this is not the story for you. If you love drama well enjoy :),https://www.wattpad.com/story/31884-the-family-business-an-arranged-marriage,topic15.png
48,Historical Fiction,other,14.40%,,,,,,,,,,,,,,other.png
49,Horror,Topic 27,45.60%,horror,scari,creepi,murder,death,abus,ghost,complet,blood,betray,"horror, scari, creepi, murder, death, abus, ghost, complet, blood, betray",Rose and Christopher were once the perfect couple. Rose was helping Christopher overcome his demons and together they seemed to be unstoppable believing that their love would last forever. That all changed one day when Rose discovered her boyfriend's cheating ways and what started out as an innocent break up turned into a massacre. Christopher snapped going on a psychotic break and murdering Rose's family. One year later and Rose is slowly piecing back the puzzle of her life after those she loved were so brutally taken away. With good friends and a new boyfriend she thinks that the scars from that fateful night are starting to fade. She thought that the horrors were over but really they had only just begun. When she hesitantly joins her friends on a camping trip she is completely unaware of the person lurking in the shadows the man who has been watching her from a distance all this time and has now come to get what he wants. Her. And if he can't have her well then nobody can.,https://www.wattpad.com/story/12235721-my-psychotic-ex-boyfriend,topic27.png
50,Horror,Topic 36,37.00%,kidnap,murder,horror,abduct,stalker,death,love,obsess,tortur,taken,"kidnap, murder, horror, abduct, stalker, death, love, obsess, tortur, taken",Juliet was an orphan and never had a family before. She became a stripper and lived a miserable life. That is until one night when a strange man comes into the strip club and interviews her. Walking home that night he kidnaps her and brings her home to be his son's wife. Now on an isolated farm she is brainwashed to believe that they are the family that will always protect her. However the family has a dark tradition. They murder anyone who comes near their property and then serve them up for dinner. Breakfast too... Seems really long but the chapters are pretty short *Under Construction*,https://www.wattpad.com/story/20550768-family-comes-first-kidnapped-by-cannibals,topic36.png
51,Horror,Topic 41,4.20%,thriller,suspens,murder,whodunit,secret,troubl,suspenc,newadult,stalker,sequel,"thriller, suspens, murder, whodunit, secret, troubl, suspenc, newadult, stalker, sequel",How far will teen girls go for approval from their peers? Pretty far it turns out. When pretty smart Sara Long is found bludgeoned to death it's easy to blame the man with the bat. But when Georgia Davis -- former cop and newly-minted PI -- is hired to look into the incident at the behest of the accused's sister what she finds hints at a much different much darker answer. It seems the privileged affluent schoolgirls on Chicago's North Shore have learned just how much their innocence is worth to hot-under-the-collar businessmen. But while these girls can pay for their newly gotten Prada pricetags they don't realize that their new business venture may end up costing them more than they can afford. I'll post chapters one at a time but if you just HAVE to find out what happens before they're all up here's where you can buy the ebook (It's also available in paperback and audio btw): http://amzn.com/B001UE8J4Y https://itunes.apple.com/us/book/easy-innocence/id586071761?mt=11 http://store.kobobooks.com/en-US/ebook/easy-innocence,https://www.wattpad.com/story/30340833-easy-innocence,topic41.png
